type,start_point,end_point,hex_code,d_code
gap,00401000,00401006,"['C7', '01', '88', '31', '40', '00']","['None', 'None', 'None', 'sub_401000 proc near  ', 'mov dword ptr [ecx], offset ??_7bad_alloc@std@@6B@  ']"
entry,00401006,0040100C,"['FF', '25', 'F4', '30', '40', '00']","['jmp ds:??1exception@std@@UAE@XZ  ', 'sub_401000 endp ', 'None', 'None']"
entry,0040100C,00401010,"['CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401010,00401011,['55'],"['None', 'None', 'None', 'None', 'None', 'sub_401010 proc near  ', 'None', 'arg_0 = byte ptr 8 ', 'None', 'push ebp ']"
entry,00401011,00401013,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401013,00401014,['56'],['push esi ']
entry,00401014,00401016,"['8B', 'F1']","['mov esi, ecx ']"
entry,00401016,0040101C,"['C7', '06', '88', '31', '40', '00']","['mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@  ']"
entry,0040101C,00401022,"['FF', '15', 'F4', '30', '40', '00']",['call ds:??1exception@std@@UAE@XZ  ']
entry,00401022,00401026,"['F6', '45', '08', '01']","['test [ebp+arg_0], 1 ']"
entry,00401026,00401028,"['74', '0A']",['jz short loc_401032 ']
entry,00401028,00401029,['56'],['push esi ']
entry,00401029,0040102F,"['FF', '15', 'DC', '30', '40', '00']",['call ds:__imp_??3@YAXPAX@Z  ']
entry,0040102F,00401032,"['83', 'C4', '04']","['add esp, 4 ']"
gap,00401032,00401034,"['8B', 'C6']","['None', 'loc_401032:  ', 'mov eax, esi ']"
entry,00401034,00401035,['5E'],['pop esi ']
entry,00401035,00401036,['5D'],['pop ebp ']
entry,00401036,00401039,"['C2', '04', '00']","['retn 4 ', 'sub_401010 endp ', 'None', 'None']"
entry,00401039,00401040,"['CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401040,00401041,['55'],"['None', 'None', 'None', 'None', 'None', 'sub_401040 proc near  ', 'None', 'arg_0 = dword ptr 8 ', 'arg_4 = dword ptr 0Ch ', 'None', 'push ebp ']"
entry,00401041,00401043,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401043,00401044,['53'],['push ebx ']
entry,00401044,00401045,['56'],['push esi ']
entry,00401045,00401048,"['8B', '75', '08']","['mov esi, [ebp+arg_0] ']"
entry,00401048,0040104F,"['8B', '0C', 'B5', '60', '53', '40', '00']","['mov ecx, dword_405360[esi*4] ']"
entry,0040104F,00401050,['57'],['push edi ']
entry,00401050,00401053,"['8B', '7D', '0C']","['mov edi, [ebp+arg_4] ']"
entry,00401053,0040105A,"['8B', '04', 'BD', '60', '53', '40', '00']","['mov eax, dword_405360[edi*4] ']"
entry,0040105A,0040105F,"['BA', '64', '00', '00', '00']","['mov edx, 64h  ']"
entry,0040105F,00401066,"['2B', '14', 'B5', 'C0', '43', '40', '00']","['sub edx, dword_4043C0[esi*4] ']"
entry,00401066,00401068,"['8B', 'D9']","['mov ebx, ecx ']"
