idiom,label,count
var_628 = dword ptr -628h  | * | var_620 = qword ptr -620h ,data,1
var_621 = byte ptr -621h  | * | var_618 = qword ptr -618h ,data,1
var_620 = qword ptr -620h  | * | var_60C = dword ptr -60Ch ,data,1
var_618 = qword ptr -618h  | * | var_608 = qword ptr -608h ,data,3
var_60C = dword ptr -60Ch  | * | var_600 = qword ptr -600h ,data,1
var_608 = qword ptr -608h  | * | var_5F8 = qword ptr -5F8h ,data,3
var_600 = qword ptr -600h  | * | var_5E9 = byte ptr -5E9h ,data,1
var_5F8 = qword ptr -5F8h  | * | var_5E8 = qword ptr -5E8h ,data,3
var_5E9 = byte ptr -5E9h  | * | var_5E0 = qword ptr -5E0h ,data,1
var_5E8 = qword ptr -5E8h  | * | var_5D8 = qword ptr -5D8h ,data,3
var_5E0 = qword ptr -5E0h  | * | var_5D0 = qword ptr -5D0h ,data,3
var_5D8 = qword ptr -5D8h  | * | var_5C8 = qword ptr -5C8h ,data,3
var_5D0 = qword ptr -5D0h  | * | var_5C0 = qword ptr -5C0h ,data,2
var_5C8 = qword ptr -5C8h  | * | var_5B8 = qword ptr -5B8h ,data,2
var_5C0 = qword ptr -5C0h  | * | var_5B0 = qword ptr -5B0h ,data,2
var_5B8 = qword ptr -5B8h  | * | var_5A8 = qword ptr -5A8h ,data,2
var_5B0 = qword ptr -5B0h  | * | var_59C = dword ptr -59Ch ,data,1
var_5A8 = qword ptr -5A8h  | * | var_598 = qword ptr -598h ,data,3
var_59C = dword ptr -59Ch  | * | var_590 = dword ptr -590h ,data,1
var_598 = qword ptr -598h  | * | var_58C = dword ptr -58Ch ,data,1
var_590 = dword ptr -590h  | * | var_588 = qword ptr -588h ,data,1
var_58C = dword ptr -58Ch  | * | var_579 = byte ptr -579h ,data,1
var_588 = qword ptr -588h  | * | var_578 = qword ptr -578h ,data,2
var_579 = byte ptr -579h  | * | var_56C = dword ptr -56Ch ,data,1
var_578 = qword ptr -578h  | * | var_568 = qword ptr -568h ,data,1
var_56C = dword ptr -56Ch  | * | var_560 = qword ptr -560h ,data,1
var_568 = qword ptr -568h  | * | var_558 = qword ptr -558h ,data,1
var_560 = qword ptr -560h  | * | var_54C = dword ptr -54Ch ,data,1
var_558 = qword ptr -558h  | * | var_548 = qword ptr -548h ,data,3
var_54C = dword ptr -54Ch  | * | var_540 = qword ptr -540h ,data,1
var_548 = qword ptr -548h  | * | var_538 = qword ptr -538h ,data,2
var_540 = qword ptr -540h  | * | var_530 = qword ptr -530h ,data,2
var_538 = qword ptr -538h  | * | var_521 = byte ptr -521h ,data,1
var_530 = qword ptr -530h  | * | var_520 = qword ptr -520h ,data,2
var_521 = byte ptr -521h  | * | var_518 = qword ptr -518h ,data,1
var_520 = qword ptr -520h  | * | var_510 = qword ptr -510h ,data,3
var_518 = qword ptr -518h  | * | var_508 = qword ptr -508h ,data,3
var_510 = qword ptr -510h  | * | var_500 = qword ptr -500h ,data,3
var_508 = qword ptr -508h  | * | var_4F8 = qword ptr -4F8h ,data,3
var_500 = qword ptr -500h  | * | var_4F0 = qword ptr -4F0h ,data,3
var_4F8 = qword ptr -4F8h  | * | var_4E8 = qword ptr -4E8h ,data,3
var_4F0 = qword ptr -4F0h  | * | var_4DC = dword ptr -4DCh ,data,1
var_4E8 = qword ptr -4E8h  | * | var_4D8 = qword ptr -4D8h ,data,3
var_4DC = dword ptr -4DCh  | * | var_4CC = dword ptr -4CCh ,data,1
var_4D8 = qword ptr -4D8h  | * | var_4C8 = byte ptr -4C8h ,data,1
var_4CC = dword ptr -4CCh  | * | var_4B0 = dword ptr -4B0h ,data,1
var_4C8 = byte ptr -4C8h  | * | var_4AC = dword ptr -4ACh ,data,1
var_4B0 = dword ptr -4B0h  | * | var_4A8 = dword ptr -4A8h ,data,1
var_4AC = dword ptr -4ACh  | * | var_4A4 = dword ptr -4A4h ,data,1
var_4A8 = dword ptr -4A8h  | * | var_4A0 = qword ptr -4A0h ,data,1
var_4A4 = dword ptr -4A4h  | * | var_498 = byte ptr -498h ,data,1
var_4A0 = qword ptr -4A0h  | * | var_480 = byte ptr -480h ,data,1
var_498 = byte ptr -498h  | * | var_468 = dword ptr -468h ,data,1
var_480 = byte ptr -480h  | * | var_464 = dword ptr -464h ,data,1
var_468 = dword ptr -468h  | * | var_460 = qword ptr -460h ,data,1
var_464 = dword ptr -464h  | * | var_458 = qword ptr -458h ,data,1
var_460 = qword ptr -460h  | * | var_450 = qword ptr -450h ,data,2
var_458 = qword ptr -458h  | * | var_448 = qword ptr -448h ,data,2
var_450 = qword ptr -450h  | * | var_440 = qword ptr -440h ,data,2
var_448 = qword ptr -448h  | * | var_438 = qword ptr -438h ,data,2
var_440 = qword ptr -440h  | * | var_430 = qword ptr -430h ,data,2
var_438 = qword ptr -438h  | * | var_428 = qword ptr -428h ,data,2
var_430 = qword ptr -430h  | * | var_420 = qword ptr -420h ,data,2
var_428 = qword ptr -428h  | * | var_418 = qword ptr -418h ,data,2
var_420 = qword ptr -420h  | * | var_410 = qword ptr -410h ,data,2
var_418 = qword ptr -418h  | * | var_408 = qword ptr -408h ,data,1
var_410 = qword ptr -410h  | * | var_400 = qword ptr -400h ,data,1
var_408 = qword ptr -408h  | * | var_3F8 = qword ptr -3F8h ,data,1
var_400 = qword ptr -400h  | * | var_3F0 = qword ptr -3F0h ,data,1
var_3F8 = qword ptr -3F8h  | * | var_3E8 = qword ptr -3E8h ,data,1
var_3F0 = qword ptr -3F0h  | * | var_3E0 = qword ptr -3E0h ,data,1
var_3E8 = qword ptr -3E8h  | * | var_3D8 = qword ptr -3D8h ,data,1
var_3E0 = qword ptr -3E0h  | * | var_3D0 = qword ptr -3D0h ,data,1
var_3D8 = qword ptr -3D8h  | * | var_3C8 = qword ptr -3C8h ,data,2
var_3D0 = qword ptr -3D0h  | * | var_3C0 = qword ptr -3C0h ,data,2
var_3C8 = qword ptr -3C8h  | * | var_3B8 = qword ptr -3B8h ,data,2
var_3C0 = qword ptr -3C0h  | * | var_3B0 = qword ptr -3B0h ,data,2
var_3B8 = qword ptr -3B8h  | * | var_3A8 = qword ptr -3A8h ,data,2
var_3B0 = qword ptr -3B0h  | * | var_3A0 = qword ptr -3A0h ,data,2
var_3A8 = qword ptr -3A8h  | * | var_398 = qword ptr -398h ,data,2
var_3A0 = qword ptr -3A0h  | * | var_390 = qword ptr -390h ,data,2
var_398 = qword ptr -398h  | * | var_388 = qword ptr -388h ,data,3
var_390 = qword ptr -390h  | * | var_380 = qword ptr -380h ,data,3
var_388 = qword ptr -388h  | * | var_378 = qword ptr -378h ,data,3
var_380 = qword ptr -380h  | * | var_370 = qword ptr -370h ,data,3
var_378 = qword ptr -378h  | * | var_368 = qword ptr -368h ,data,3
var_370 = qword ptr -370h  | * | var_360 = qword ptr -360h ,data,3
var_368 = qword ptr -368h  | * | var_358 = qword ptr -358h ,data,3
var_360 = qword ptr -360h  | * | var_350 = qword ptr -350h ,data,3
var_358 = qword ptr -358h  | * | var_348 = qword ptr -348h ,data,3
var_350 = qword ptr -350h  | * | var_340 = qword ptr -340h ,data,3
var_348 = qword ptr -348h  | * | var_338 = qword ptr -338h ,data,3
var_340 = qword ptr -340h  | * | var_330 = qword ptr -330h ,data,3
var_338 = qword ptr -338h  | * | var_328 = qword ptr -328h ,data,3
var_330 = qword ptr -330h  | * | var_320 = qword ptr -320h ,data,3
var_328 = qword ptr -328h  | * | var_318 = qword ptr -318h ,data,3
var_320 = qword ptr -320h  | * | var_310 = qword ptr -310h ,data,3
var_318 = qword ptr -318h  | * | var_308 = qword ptr -308h ,data,3
var_310 = qword ptr -310h  | * | var_300 = qword ptr -300h ,data,3
var_308 = qword ptr -308h  | * | var_2F8 = qword ptr -2F8h ,data,3
var_300 = qword ptr -300h  | * | var_2F0 = qword ptr -2F0h ,data,3
var_2F8 = qword ptr -2F8h  | * | var_2E8 = qword ptr -2E8h ,data,2
var_2F0 = qword ptr -2F0h  | * | var_2E0 = qword ptr -2E0h ,data,3
var_2E8 = qword ptr -2E8h  | * | var_2D8 = qword ptr -2D8h ,data,3
var_2E0 = qword ptr -2E0h  | * | var_2D0 = qword ptr -2D0h ,data,3
var_2D8 = qword ptr -2D8h  | * | var_2C8 = qword ptr -2C8h ,data,4
var_2D0 = qword ptr -2D0h  | * | var_2C0 = qword ptr -2C0h ,data,4
var_2C8 = qword ptr -2C8h  | * | var_2B8 = qword ptr -2B8h ,data,4
var_2C0 = qword ptr -2C0h  | * | var_2B0 = qword ptr -2B0h ,data,4
var_2B8 = qword ptr -2B8h  | * | var_2A8 = qword ptr -2A8h ,data,4
var_2B0 = qword ptr -2B0h  | * | var_2A0 = qword ptr -2A0h ,data,4
var_2A8 = qword ptr -2A8h  | * | var_298 = qword ptr -298h ,data,4
var_2A0 = qword ptr -2A0h  | * | var_290 = qword ptr -290h ,data,4
var_298 = qword ptr -298h  | * | var_288 = qword ptr -288h ,data,3
var_290 = qword ptr -290h  | * | var_280 = qword ptr -280h ,data,3
var_288 = qword ptr -288h  | * | var_278 = qword ptr -278h ,data,3
var_280 = qword ptr -280h  | * | var_270 = qword ptr -270h ,data,3
var_278 = qword ptr -278h  | * | var_268 = qword ptr -268h ,data,4
var_270 = qword ptr -270h  | * | var_260 = qword ptr -260h ,data,4
var_268 = qword ptr -268h  | * | var_258 = qword ptr -258h ,data,4
var_260 = qword ptr -260h  | * | var_250 = qword ptr -250h ,data,4
var_258 = qword ptr -258h  | * | var_248 = qword ptr -248h ,data,5
var_250 = qword ptr -250h  | * | var_240 = qword ptr -240h ,data,3
var_248 = qword ptr -248h  | * | var_238 = qword ptr -238h ,data,3
var_240 = qword ptr -240h  | * | var_230 = qword ptr -230h ,data,2
var_238 = qword ptr -238h  | * | var_228 = qword ptr -228h ,data,3
var_230 = qword ptr -230h  | * | var_220 = qword ptr -220h ,data,3
var_228 = qword ptr -228h  | * | var_218 = qword ptr -218h ,data,3
var_220 = qword ptr -220h  | * | var_210 = qword ptr -210h ,data,4
var_218 = qword ptr -218h  | * | var_208 = qword ptr -208h ,data,4
var_210 = qword ptr -210h  | * | var_200 = qword ptr -200h ,data,3
var_208 = qword ptr -208h  | * | var_1F8 = qword ptr -1F8h ,data,3
var_200 = qword ptr -200h  | * | var_1F0 = qword ptr -1F0h ,data,3
var_1F8 = qword ptr -1F8h  | * | var_1E8 = qword ptr -1E8h ,data,3
var_1F0 = qword ptr -1F0h  | * | var_1E0 = qword ptr -1E0h ,data,3
var_1E8 = qword ptr -1E8h  | * | var_1D8 = qword ptr -1D8h ,data,3
var_1E0 = qword ptr -1E0h  | * | var_1D0 = qword ptr -1D0h ,data,3
var_1D8 = qword ptr -1D8h  | * | var_1C8 = qword ptr -1C8h ,data,4
var_1D0 = qword ptr -1D0h  | * | var_1C0 = qword ptr -1C0h ,data,5
var_1C8 = qword ptr -1C8h  | * | var_1B8 = qword ptr -1B8h ,data,4
var_1C0 = qword ptr -1C0h  | * | var_1B0 = qword ptr -1B0h ,data,4
var_1B8 = qword ptr -1B8h  | * | var_1A8 = qword ptr -1A8h ,data,4
var_1B0 = qword ptr -1B0h  | * | var_1A0 = qword ptr -1A0h ,data,4
var_1A8 = qword ptr -1A8h  | * | var_198 = qword ptr -198h ,data,5
var_1A0 = qword ptr -1A0h  | * | var_190 = qword ptr -190h ,data,6
var_198 = qword ptr -198h  | * | var_188 = qword ptr -188h ,data,6
var_190 = qword ptr -190h  | * | var_180 = qword ptr -180h ,data,6
var_188 = qword ptr -188h  | * | var_178 = qword ptr -178h ,data,6
var_180 = qword ptr -180h  | * | var_170 = qword ptr -170h ,data,6
var_178 = qword ptr -178h  | * | var_168 = qword ptr -168h ,data,6
